SURVEY_SPECIES,SPECIES_NAME,COMMON_NAME,SPECIES_CODE,ID_RANK,DATABASE,DATABASE_ID,GENUS_TAXON,SUBFAMILY_TAXON,FAMILY_TAXON,SUPERFAMILY_TAXON,INFRAORDER_TAXON,SUBORDER_TAXON,ORDER_TAXON,SUPERORDER_TAXON,INFRACLASS_TAXON,SUBCLASS_TAXON,CLASS_TAXON,SUPERCLASS_TAXON,SUBPHYLUM_TAXON,PHYLUM_TAXON,KINGDOM_TAXON
1,Selachii egg case,shark egg case unid.,160,infraclass,WORMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Alopias vulpinus,thresher shark,180,species,WORMS,105836,Alopias,NA,Alopiidae,NA,NA,NA,Lamniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Alopias vulpinus,thresher shark,180,species,ITIS,159916,Alopias,NA,Alopiidae,NA,NA,NA,Lamniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Scyliorhinidae,cat shark unid.,200,family,WORMS,105693,NA,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Scyliorhinidae,cat shark unid.,200,family,ITIS,159985,NA,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Apristurus brunneus egg case,brown cat shark egg case,201,species,WORMS,NA,Apristurus,NA,Pentanchidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Apristurus brunneus,brown cat shark,210,species,WORMS,158512,Apristurus,NA,Pentanchidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Apristurus brunneus,brown cat shark,210,species,ITIS,159988,Apristurus,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Parmaturus xaniurus,filetail cat shark,211,species,WORMS,282166,Parmaturus,NA,Pentanchidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Parmaturus xaniurus,filetail cat shark,211,species,ITIS,160108,Parmaturus,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Apristurus kampae,longnose cat shark,212,species,WORMS,271342,Apristurus,NA,Pentanchidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Apristurus kampae,longnose cat shark,212,species,ITIS,160002,Apristurus,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Apristurus sp.,NA,213,genus,WORMS,105727,Apristurus,NA,Pentanchidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Apristurus sp.,NA,213,genus,ITIS,159987,Apristurus,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Cephaloscyllium ventriosum,swell shark,214,species,WORMS,277105,Cephaloscyllium,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Cephaloscyllium ventriosum,swell shark,214,species,ITIS,160089,Cephaloscyllium,NA,Scyliorhinidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Hexanchus griseus,sixgill shark,222,species,WORMS,105833,Hexanchus,NA,Hexanchidae,NA,NA,NA,Hexanchiformes,Squalomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Hexanchus griseus,sixgill shark,222,species,ITIS,159819,Hexanchus,NA,Hexanchidae,NA,NA,NA,Hexanchiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Lamna ditropis,salmon shark,232,species,WORMS,271421,Lamna,NA,Lamnidae,NA,NA,NA,Lamniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Lamna ditropis,salmon shark,232,species,ITIS,159910,Lamna,NA,Lamnidae,NA,NA,NA,Lamniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Cetorhinus maximus,basking shark,242,species,WORMS,105837,Cetorhinus,NA,Cetorhinidae,NA,NA,NA,Lamniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Cetorhinus maximus,basking shark,242,species,ITIS,159907,Cetorhinus,NA,Cetorhinidae,NA,NA,NA,Lamniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Squatina californica,Pacific angel shark,252,species,WORMS,271667,Squatina,NA,Squatinidae,NA,NA,NA,Squatiniformes,Squalomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Squatina californica,Pacific angel shark,252,species,ITIS,160785,Squatina,NA,Squatinidae,NA,NA,NA,Squatiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Squalus suckleyi,spiny dogfish,310,species,WORMS,299224,Squalus,NA,Squalidae,NA,NA,NA,Squaliformes,Squalomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Squalus suckleyi,spiny dogfish,310,species,ITIS,160620,Squalus,NA,Squalidae,NA,NA,NA,Squaliformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Centroscyllium nigrum,combtooth dogfish,311,species,WORMS,271623,Centroscyllium,NA,Etmopteridae,NA,NA,NA,Squaliformes,Squalomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Centroscyllium nigrum,combtooth dogfish,311,species,ITIS,160706,Centroscyllium,NA,Etmopteridae,NA,NA,NA,Squaliformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Somniosus pacificus,Pacific sleeper shark,320,species,WORMS,271654,Somniosus,NA,Somniosidae,NA,NA,NA,Squaliformes,Squalomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Somniosus pacificus,Pacific sleeper shark,320,species,ITIS,160610,Somniosus,NA,Somniosidae,NA,NA,NA,Squaliformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Galeorhinus galeus,soupfin shark,332,species,WORMS,105820,Galeorhinus,Galeorhininae,Triakidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Galeorhinus galeus,soupfin shark,332,species,ITIS,160181,Galeorhinus,NA,Triakidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Mustelus sp.,NA,339,genus,WORMS,105732,Mustelus,Triakinae,Triakidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Mustelus sp.,NA,339,genus,ITIS,160226,Mustelus,NA,Triakidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Mustelus henlei,brown smoothhound,340,species,WORMS,271386,Mustelus,Triakinae,Triakidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Mustelus henlei,brown smoothhound,340,species,ITIS,160236,Mustelus,NA,Triakidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Mustelus californicus,gray smoothhound,341,species,WORMS,271381,Mustelus,Triakinae,Triakidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Mustelus californicus,gray smoothhound,341,species,ITIS,160235,Mustelus,NA,Triakidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Prionace glauca,blue shark,351,species,WORMS,105801,Prionace,NA,Carcharhinidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Prionace glauca,blue shark,351,species,ITIS,160424,Prionace,NA,Carcharhinidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Triakis semifasciata,leopard shark,355,species,WORMS,279060,Triakis,Triakinae,Triakidae,NA,NA,NA,Carcharhiniformes,Galeomorphi,Selachii,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Triakis semifasciata,leopard shark,355,species,ITIS,160448,Triakis,NA,Triakidae,NA,NA,NA,Carcharhiniformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Rajidae,skate unid.,400,family,WORMS,105711,NA,NA,Rajidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Rajidae,skate unid.,400,family,ITIS,160845,NA,NA,Rajidae,NA,NA,NA,Rajiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Rajiformes egg case,skate egg case unid.,401,order,WORMS,NA,NA,NA,NA,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Bathyraja sp. egg case,Bathyraja sp. egg case,402,species,WORMS,NA,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Raja sp. egg case,Raja sp. egg case,403,species,WORMS,NA,Raja,NA,Rajidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Raja sp.,NA,404,genus,WORMS,105766,Raja,NA,Rajidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Raja sp.,NA,404,genus,ITIS,160846,Raja,NA,Rajidae,NA,NA,NA,Rajiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Bathyraja sp.,NA,405,genus,WORMS,105761,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Bathyraja sp.,NA,405,genus,ITIS,160928,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Bathyraja spinosissima,white skate,406,species,WORMS,271536,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Bathyraja spinosissima,white skate,406,species,ITIS,160933,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Bathyraja abyssicola,deepsea skate,410,species,WORMS,271503,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Bathyraja abyssicola,deepsea skate,410,species,ITIS,564114,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Bathyraja abyssicola egg case,deepsea skate egg case,411,species,WORMS,NA,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Beringraja binoculata,big skate,420,species,WORMS,1021330,Beringraja,NA,Rajidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Beringraja binoculata egg case,big skate egg case,421,species,WORMS,NA,Beringraja,NA,Rajidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
1,Beringraja inornata,California skate,425,species,WORMS,1461134,Beringraja,NA,Rajidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Raja inornata,California skate,425,species,ITIS,160849,Raja,NA,Rajidae,NA,NA,NA,Rajiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
1,Bathyraja interrupta,Bering skate,435,species,WORMS,271515,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,NA,Batoidea,Neoselachii,Elasmobranchii,NA,Vertebrata,Chordata,Animalia
0,Bathyraja interrupta,Bering skate,435,species,ITIS,160937,Bathyraja,NA,Arhynchobatidae,NA,NA,NA,Rajiformes,Euselachii,NA,Elasmobranchii,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia
